alias,csco_code,csco_name
财务主管/总账主管,1-03-00-02,工商联负责人
党工团干事,1-04-01-01,工会负责人
联合创始人,1-06-01-01,企业董事
副总裁/副总经理VP,1-06-01-01,企业董事
首席运营官COO,1-06-01-02,企业经理
区域总监,1-06-01-02,企业经理
办事处首席代表,1-06-01-02,企业经理
首席技术执行官CTO,1-06-01-02,企业经理
区域负责人（辖多个分公司）,1-06-01-02,企业经理
增长产品经理,1-06-01-02,企业经理
首席营销官CMO,1-06-01-02,企业经理
高级管理职位,1-06-01-02,企业经理
CTO,1-06-01-02,企业经理
总裁/总经理/CEO,1-06-01-02,企业经理
储备经理人,1-06-01-02,企业经理
总监/部门经理,1-06-01-02,企业经理
工厂经理/厂长,1-06-01-02,企业经理
CFO,1-06-01-02,企业经理
首席执行官CEO/总裁,1-06-01-02,企业经理
COO,1-06-01-02,企业经理
厂长,1-06-01-02,企业经理
首席产品官CPO,1-06-01-02,企业经理
CMO,1-06-01-02,企业经理
首席财务官CFO,1-06-01-02,企业经理
副总经理/副总裁,1-06-01-02,企业经理
首席信息官CIO,1-06-01-02,企业经理
办事处/分公司/分支机构经理,1-06-01-02,企业经理
场长(农/林/牧/渔业),1-06-01-02,企业经理
园长,1-06-02-00,事业单位负责人
运营总监,1-06-02-00,事业单位负责人
校长,1-06-02-00,事业单位负责人
园长副园长,1-06-02-00,事业单位负责人
分公司/代表处负责人,1-06-02-00,事业单位负责人
医院管理人员,1-06-02-00,事业单位负责人
营业部大堂经理,1-06-02-00,事业单位负责人
校长副校长,1-06-02-00,事业单位负责人
实验室技术员,2-00-00-00,专业技术人员
技术文档工程师,2-00-00-00,专业技术人员
技术合伙人,2-00-00-00,专业技术人员
科研人员,2-01-00-00,科学研究人员
科研管理人员,2-01-00-00,科学研究人员
生物学研究人员,2-01-06-05,生物学研究人员
临床研究员,2-01-08-00,医学研究人员
药理研究,2-01-08-00,医学研究人员
药物分析研究员,2-01-08-00,医学研究人员
医药技术研发管理人员,2-01-08-00,医学研究人员
医药技术研发人员,2-01-08-00,医学研究人员
