job_name,expected_code,expected_name
技术研究员,2-02-00-00,工程技术人员
技术编辑,2-10-02-03,技术编辑
技术部经理,2-02-30-01,工业工程技术人员
投料合作经理,2-06-07-00,商务专业人员
投标预算员,2-02-30-10,工程造价工程技术人员
投行总监,2-06-11-03,证券投资专业人员
抖音商务,2-06-07-00,商务专业人员
抖音客服专员,4-04-05-03,呼叫中心服务员
抖音引流专员,4-13-01-05,全媒体运营师S
抖音快手客服 不加班,4-04-05-03,呼叫中心服务员
抖音快手运营（郓城）,4-01-06-01,电子商务师S
抖音房产分析师/选房师+提成70% 月入3万,4-06-02-01,房地产经纪人
抖音抖店运营,4-01-06-01,电子商务师S
抖音拍摄,4-13-01-05,全媒体运营师S
抖音探店达人,4-13-01-05,全媒体运营师S
抖音摄影,4-08-09-01,商业摄影师
抖音新媒体运营专员,4-13-01-05,全媒体运营师S
抖音服务商,4-01-06-01,电子商务师S
抗菌项目合伙人,2-02-32-02,生物工程技术人员
折弯师傅,6-19-01-00,五金制品制作装配人员
抚州8k续保专员/五险双休/员工餐,4-05-03-02,保险保全员
抚州商务专员,2-06-07-00,商务专业人员
护士培训助教,2-06-08-04,职业技术实训指导专业人员
护理主管,2-05-08-00,护理人员
护理站运营经理,2-05-08-00,护理人员
报检员,6-31-03-05,质检员
报规报建,2-02-18-02,土木建筑工程技术人员
拍短视频,4-13-01-05,全媒体运营师S
拒绝内卷 面就过！客服7500+,4-04-05-03,呼叫中心服务员
"招三人客服!!快乐式工作,到点就下班!!",4-04-05-03,呼叫中心服务员
招保姆接送孩子家务做饭,4-10-01-06,家政服务员
招募创业合伙人,8-00-00-00,不便分类的其他从业人员
招募成立律师事务所合伙人,2-07-04-00,律师
招募水电维修师傅（可小白）扬州,6-31-01-10,机电设备维修工
招游戏主播,4-13-01-05,全媒体运营师S
招物流客服,4-02-07-09,快件处理员
招生专员,4-13-04-00,教育服务人员
招生合伙人,4-13-04-00,教育服务人员
招生客服上班时间地点自由,4-13-04-00,教育服务人员
招生校长,1-06-02-00,事业单位负责人
招生校长助理,4-13-04-00,教育服务人员
招生老师,4-13-04-00,教育服务人员
招生老师课程顾问+六险,4-13-04-00,教育服务人员
招生课程顾问,4-13-04-00,教育服务人员
招生顾问,4-13-04-00,教育服务人员
招生顾问主管,4-13-04-00,教育服务人员
招生顾问双休不加班,4-13-04-00,教育服务人员
招生顾问老师,4-13-04-00,教育服务人员
招短期客服会电脑就行,4-04-05-03,呼叫中心服务员
招聘专业主管,1-06-01-02,企业经理
招聘专员,4-07-03-08,招聘师
招聘专员(J10728),2-00-00-00,专业技术人员
招聘专员/主管,2-00-00-00,专业技术人员
招聘专员/助理,4-07-03-08,招聘师
招聘专员/文员/助理月7800+朝九晚六工作轻松,3-01-02-05,打字员
招聘专员无经验要求可小白,4-07-03-08,招聘师
招聘专员（英语）,4-07-03-08,招聘师
招聘专家,4-07-03-08,招聘师
招聘专家（双休+五险一金）,4-07-03-08,招聘师
招聘主管,4-07-03-08,招聘师
招聘主管(J12355),2-00-00-00,专业技术人员
招聘主管双休五险一金,4-07-03-08,招聘师
招聘二级机电建造师,6-24-01-00,电机制造工
招聘人事  长白 无责底薪,3-01-01-01,行政办事员
招聘兼职,8-00-00-00,不便分类的其他从业人员
招聘兼职/人力兼职,8-00-00-00,不便分类的其他从业人员
招聘助理,4-07-03-08,招聘师
招聘助理/专员,4-07-03-08,招聘师
招聘助理/招聘文员/招聘专员,3-01-02-05,打字员
招聘厂房临时工 3名,6-00-00-00,生产制造及有关人员
