input,csco_code,csco_name,similarity,expected_code,expected_name
技术研究员,2061102,证券交易专业人员,0.8999385776835357,2020000,工程技术人员
技术编辑,2100203,技术编辑,0.9999999999998732,2100203,技术编辑
技术部经理,2023001,工业工程技术人员,0.9837671183765287,2023001,工业工程技术人员
投料合作经理,2023001,工业工程技术人员,0.8995235854388274,2060700,商务专业人员
投标预算员,2023010,工程造价工程技术人员,0.9235834376390853,2023010,工程造价工程技术人员
投行总监,3010203,公关员,0.96666404516499,2061103,证券投资专业人员
抖音商务,3010200,行政事务处理人员,0.7355090446750236,2060700,商务专业人员
抖音客服专员,4040503,呼叫中心服务员,0.823882964607278,4040503,呼叫中心服务员
抖音引流专员,2060714,企业合规师,0.832553374586339,4130105,全媒体运营师S
抖音快手客服,4010600,电子商务服务人员,0.7607452893313091,4040503,呼叫中心服务员
抖音快手运营,4130200,广播、电视、电影和影视录音制作人员,0.6463691838631346,4010601,电子商务师S
抖音房产分析师选房师70,2060000,经济和金融专业人员,0.5861196082959959,4060201,房地产经纪人
抖音抖店运营,4010600,电子商务服务人员,0.6662978798895781,4010601,电子商务师S
抖音拍摄,4130200,广播、电视、电影和影视录音制作人员,0.7751175687422556,4130105,全媒体运营师S
抖音探店达人,4010600,电子商务服务人员,0.7433957042986007,4130105,全媒体运营师S
抖音摄影,4080901,商业摄影师,0.8212553872295381,4080901,商业摄影师
抖音新媒体运营专员,4130100,社会文化活动服务人员,0.7519675371354385,4130105,全媒体运营师S
抖音服务商,4140504,康乐服务员,0.8175494053473659,4010601,电子商务师S
抗菌项目合伙人,4090900,有害生物防制员L,0.6908990495559196,2023202,生物工程技术人员
折弯师傅,6180112,冲压工,0.9567093277302592,6190100,五金制品制作装配人员
抚州续保专员员工餐,4030200,餐饮服务人员,0.666021137616722,4050302,保险保全员
抚州商务专员,4010201,营销员,0.8414813584995575,2060700,商务专业人员
护士培训助教,2050801,内科护士,0.8300575584355219,2060804,职业技术实训指导专业人员
护理主管,2050800,护理人员,0.9232250323472687,2050800,护理人员
护理站运营经理,4140202,健康管理师,0.8721466145553932,2050800,护理人员
报检员,2060712,报关人员,0.9499720780887221,6310305,质检员
报规报建,2090106,导演,0.8482259427349876,2021802,土木建筑工程技术人员
拍短视频,2090306,剪辑师,0.8393900244469757,4130105,全媒体运营师S
拒绝内卷 面就过客服7500,4040500,软件和信息技术服务人员,0.6395841049176039,4040503,呼叫中心服务员
招三人客服快乐式工作到点就下班,4020500,装卸搬运和运输代理服务人员,0.6625883469207758,4040503,呼叫中心服务员
招保姆接送孩子家务做饭,4030200,餐饮服务人员,0.6547912429966336,4100106,家政服务员
招募创业合伙人,4070300,人力资源服务人员,0.7117451978354904,8000000,不便分类的其他从业人员
招募成立律师事务所合伙人,2070400,律师,0.8026726172793177,2070400,律师
招募水电维修师傅可小白,2021804,供水排水工程技术人员L,0.8020734044223904,6310110,机电设备维修工
招游戏主播,4140507,电子竞技员S,0.9753514382693671,4130105,全媒体运营师S
招物流客服,4020603,物流服务师L,0.9180422541919777,4020709,快件处理员
招生专员,2060715,招标采购专业人员,0.8968781066157882,4130400,教育服务人员
招生合伙人,2000000,专业技术人员,0.7906613963122363,4130400,教育服务人员
招生客服上班时间地点自由,3010200,行政事务处理人员,0.6326377359789929,4130400,教育服务人员
招生校长,1060200,事业单位负责人,0.9249902784916716,1060200,事业单位负责人
招生校长助理,1060200,事业单位负责人,0.8628473509087742,4130400,教育服务人员
招生老师,4010201,营销员,0.9999999999999246,4130400,教育服务人员
招生老师课程顾问,4010201,营销员,0.9161829654791505,4130400,教育服务人员
招生课程顾问,4010201,营销员,0.9352700532141079,4130400,教育服务人员
招生顾问,4010201,营销员,0.9999999999998468,4130400,教育服务人员
招生顾问主管,4010201,营销员,0.9535767534202177,4130400,教育服务人员
招生顾问,4010201,营销员,0.9999999999998468,4130400,教育服务人员
招生顾问老师,4010201,营销员,0.9142998790969367,4130400,教育服务人员
招短期客服会电脑就行,6050100,纺织品和服装剪裁缝纫人员,0.686879323791969,4040503,呼叫中心服务员
专业主管,2060801,人力资源管理专业人员,0.9390904976607692,1060102,企业经理
招聘专员,3010203,公关员,0.9219545126007029,4070308,招聘师
招聘专员,3010203,公关员,0.9219545126007029,2000000,专业技术人员
招聘专员主管,4070308,招聘师,0.9196084930634268,2000000,专业技术人员
招聘专员助理,4070308,招聘师,0.9803137858170743,4070308,招聘师
招聘专员文员助理朝九晚六工作轻松,4070300,人力资源服务人员,0.7991868154681829,3010205,打字员
招聘专员无经验要求可小白,4070300,人力资源服务人员,0.6792920446081323,4070308,招聘师
招聘专员英语,4070308,招聘师,0.820426892735835,4070308,招聘师
专家,2061001,精算专业人员,0.8641083864464565,4070308,招聘师
专家,2061001,精算专业人员,0.8641083864464565,4070308,招聘师
主管,4130105,全媒体运营师S,0.9727394219384559,4070308,招聘师
主管,4130105,全媒体运营师S,0.9727394120307257,2000000,专业技术人员
主管,4130105,全媒体运营师S,0.9727394120307257,4070308,招聘师
二级机电建造师,2021101,电工电器工程技术人员,0.863488472188953,6240100,电机制造工
人事,4010206,连锁经营管理师,0.8871038737852592,3010101,行政办事员
兼职,6040300,织造人员,0.7769045428617312,8000000,不便分类的其他从业人员
兼职人力兼职,6040104,并条工,0.8089770153217823,8000000,不便分类的其他从业人员
助理,4130105,全媒体运营师S,0.9806318473346689,4070308,招聘师
助理专员,4130105,全媒体运营师S,0.9562478055454473,4070308,招聘师
招聘助理招聘文员招聘专员,4070308,招聘师,0.951669201621338,3010205,打字员
厂房临时工 3名,5020400,木材采运人员,0.6470537591666835,6000000,生产制造及有关人员
司机驾驶员,4020201,客运车辆驾驶员L,0.9803649011721547,4020200,道路运输服务人员
